/home/hustzyw/jdk1.8.0_191/bin/java -cp /home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/leveldbjni-binding/conf:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/conf:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/core-0.16.0-SNAPSHOT.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/htrace-core4-4.1.0-incubating.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/jackson-mapper-asl-1.9.4.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/jackson-core-asl-1.9.4.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/HdrHistogram-2.1.4.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/leveldb-api-0.6.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/leveldbjni-binding-0.16.0-SNAPSHOT.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/novelsmjni.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.db.LevelDbJniClient -s -P our-nvm-workloads/count5m/workloada -p rocksdb.dir=/mnt/ssd/xiaohu/novelsm-count5m -load
Command line: -db com.yahoo.ycsb.db.LevelDbJniClient -s -P our-nvm-workloads/count5m/workloada -p rocksdb.dir=/mnt/ssd/xiaohu/novelsm-count5m -load
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
FLAGS_use_existing_db: 0
FLAGS_db_disk: /mnt/ssd/xiaohu/novelsm-count5m/
FLAGS_db_mem:  /pmem/xiaohu/novelsm-count5m/
FLAGS_nvm_buffer_size:  67108864
FLAGS_num_levels:  2
FLAGS_num_read_threads:  1

DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-01-30 07:32:59:191 0 sec: 0 operations; est completion in 0 second 
2019-01-30 07:36:19:157 200 sec: 867101 operations; 742.43 current ops/sec; est completion in 15 minutes [INSERT: Count=7425, Max=11791, Min=1148, Avg=1341.56, 90=1283, 99=6051, 99.9=9527, 99.99=10343] 
2019-01-30 07:36:29:155 210 sec: 923635 operations; 5653.97 current ops/sec; est completion in 15 minutes [INSERT: Count=56534, Max=337663, Min=25, Avg=175.48, 90=85, 99=1283, 99.9=4687, 99.99=9103] 
2019-01-30 07:36:39:160 220 sec: 930859 operations; 722.11 current ops/sec; est completion in 16 minutes [INSERT: Count=7223, Max=10679, Min=1151, Avg=1378.98, 90=1289, 99=5875, 99.9=9095, 99.99=10495] 
2019-01-30 07:36:49:156 230 sec: 993313 operations; 6247.9 current ops/sec; est completion in 15 minutes [INSERT: Count=62455, Max=349695, Min=21, Avg=158.84, 90=49, 99=1275, 99.9=5195, 99.99=10975] 
2019-01-30 07:36:59:160 240 sec: 1000870 operations; 755.4 current ops/sec; est completion in 15 minutes [INSERT: Count=7557, Max=11343, Min=1130, Avg=1318.7, 90=1260, 99=5175, 99.9=10311, 99.99=11327] 
2019-01-30 07:37:09:155 250 sec: 1060142 operations; 5930.17 current ops/sec; est completion in 15 minutes [INSERT: Count=59272, Max=335871, Min=21, Avg=167.4, 90=48, 99=1275, 99.9=5535, 99.99=10423] 
2019-01-30 07:37:19:160 260 sec: 1067502 operations; 735.63 current ops/sec; est completion in 15 minutes [INSERT: Count=7359, Max=12255, Min=1147, Avg=1354.15, 90=1281, 99=6371, 99.9=10319, 99.99=10799] 
2019-01-30 07:37:29:155 270 sec: 1124432 operations; 5695.28 current ops/sec; est completion in 15 minutes [INSERT: Count=56931, Max=337663, Min=21, Avg=174.26, 90=93, 99=1282, 99.9=5335, 99.99=9743] 
2019-01-30 07:37:39:160 280 sec: 1131881 operations; 744.6 current ops/sec; est completion in 15 minutes [INSERT: Count=7449, Max=9623, Min=1127, Avg=1338.19, 90=1257, 99=6443, 99.9=8711, 99.99=9623] 
2019-01-30 07:37:49:155 290 sec: 1195555 operations; 6370.59 current ops/sec; est completion in 15 minutes [INSERT: Count=63673, Max=351743, Min=20, Avg=153.83, 90=47, 99=1252, 99.9=6443, 99.99=11871] 
2019-01-30 07:37:59:160 300 sec: 1203055 operations; 749.63 current ops/sec; est completion in 15 minutes [INSERT: Count=7501, Max=14487, Min=1129, Avg=1328.99, 90=1258, 99=5951, 99.9=12047, 99.99=13007] 
2019-01-30 07:38:09:155 310 sec: 1258737 operations; 5570.99 current ops/sec; est completion in 15 minutes [INSERT: Count=55681, Max=336127, Min=21, Avg=178.19, 90=103, 99=1268, 99.9=5719, 99.99=10223] 
2019-01-30 07:38:19:161 320 sec: 1265960 operations; 721.87 current ops/sec; est completion in 15 minutes [INSERT: Count=7223, Max=10783, Min=1147, Avg=1379.04, 90=1281, 99=7627, 99.9=9927, 99.99=10647] 
2019-01-30 07:38:29:154 330 sec: 1323842 operations; 5791.68 current ops/sec; est completion in 15 minutes [INSERT: Count=57882, Max=417023, Min=22, Avg=171, 90=63, 99=1281, 99.9=6267, 99.99=10647] 
2019-01-30 07:38:39:160 340 sec: 1331528 operations; 768.22 current ops/sec; est completion in 15 minutes [INSERT: Count=7686, Max=268287, Min=21, Avg=1300.51, 90=1276, 99=8011, 99.9=10023, 99.99=14151] 
2019-01-30 07:38:49:155 350 sec: 1360245 operations; 2873.14 current ops/sec; est completion in 15 minutes [INSERT: Count=28738, Max=625663, Min=20, Avg=345.98, 90=1267, 99=1286, 99.9=8415, 99.99=15231] 
2019-01-30 07:38:59:154 360 sec: 1396468 operations; 3622.3 current ops/sec; est completion in 15 minutes [INSERT: Count=36202, Max=627711, Min=20, Avg=274.64, 90=1250, 99=1279, 99.9=9511, 99.99=12927] 
2019-01-30 07:39:09:155 370 sec: 1403932 operations; 746.4 current ops/sec; est completion in 15 minutes [INSERT: Count=7465, Max=12999, Min=1130, Avg=1334.82, 90=1264, 99=1952, 99.9=12255, 99.99=12799] 
2019-01-30 07:39:19:160 380 sec: 1426774 operations; 2283.06 current ops/sec; est completion in 15 minutes [INSERT: Count=22850, Max=382719, Min=21, Avg=435.71, 90=1250, 99=1269, 99.9=9455, 99.99=12687] 
